,Person,Total Gross,Number of Movies,Average,#1 Picture,Gross
691,Kurt Russell,2208400000,37,$59.70 ,Guardians of the Galaxy 2,389800000
692,Rene Russo,1530000000,23,$66.50 ,Thor: The Dark World,206400000
693,Amy Ryan,511700000,21,$24.40 ,Central Intelligence,127400000
694,Meg Ryan,1151900000,29,$39.70 ,Top Gun,179800000
695,Winona Ryder,917100000,36,$25.50 ,Mr. Deeds,126300000
696,Mark Rylance,497200000,7,$71.00 ,Dunkirk,189700000
697,Katee Sackhoff,100100000,3,$33.40 ,Riddick,42000000
698,Zoe Saldana,3786700000,31,$122.20 ,Avatar,760500000
699,Carlos Saldanha,84400000,1,$84.40 ,Ferdinand,84400000
700,Andy Samberg,865700000,13,$66.60 ,Hotel Transylvania 2,169700000
701,Adam Sandler,2828500000,33,$85.70 ,Hotel Transylvania 2,169700000
702,Rodrigo Santoro,584000000,9,$64.90 ,300,210600000
703,Susan Sarandon,1498600000,64,$23.40 ,Enchanted,127800000
704,Peter Sarsgaard,712000000,28,$25.40 ,Green Lantern,116600000
705,Akiva Schaffer,9600000,1,$9.60 ,Popstar,9600000
706,Taylor Schilling,81700000,6,$13.60 ,The Lucky One,60500000
707,Joseph Schneider,15000,1,$15.0k,I'm Not Jesus Mommy,15000
708,Rob Schneider,895100000,17,$52.70 ,Big Daddy,163500000
709,Matthias Schoenaerts,100900000,14,$7.20 ,Red Sparrow,46900000
710,Liev Schreiber,1187600000,34,$34.90 ,X-Men Origins: Wolverine,179900000
711,Amy Schumer,214400000,4,$53.60 ,Trainwreck,110200000
712,Jason Schwartzman,457200000,23,$19.90 ,Saving Mr. Banks,83300000
713,Arnold Schwarzenegger,1885000000,30,$62.80 ,Terminator 2,205900000
714,David Schwimmer,683000000,10,$68.30 ,Madagascar 3,216400000
715,Adam Scott,600000000,27,$22.20 ,Step Brothers,100500000
716,Steven Seagal,422900000,10,$42.30 ,Under Siege,83600000
717,Jason Segel,929400000,15,$62.00 ,Despicable Me,251500000
718,Andy Serkis,4357700000,26,$167.60 ,Star Wars: The Force Awakens,936700000
719,Chloe Sevigny,108800000,23,$4.70 ,Zodiac,33100000
720,Rufus Sewell,489100000,21,$23.30 ,Hercules,72700000
721,Amanda Seyfried,1088200000,27,$40.30 ,Les Miserables,148800000
722,Tupac Shakur,83100000,6,$13.80 ,Poetic Justice,27500000
723,Michael Shannon,509500000,23,$22.20 ,Man of Steel,291000000
724,Suraj Sharma,161400000,2,$80.70 ,Life of Pi,125000000
725,Charlie Sheen,905900000,31,$29.20 ,Platoon,138500000
726,Michael Sheen,1603100000,28,$57.30 ,Alice in Wonderland,334200000
727,Tye Sheridan,332800000,9,$37.00 ,X-Men: Apocalypse,155400000
728,M. Night Shyamalan,42300000,1,$42.30 ,Lady in the Water,42300000
729,Gabourey Sidibe,132500000,4,$33.10 ,Tower Heist,78000000
730,Sebastián Silva,79800,1,$79.8k,Nasty Baby,79800
731,Alicia Silverstone,445600000,18,$24.80 ,Batman and Robin,107300000
732,Stellan Skarsgard,3296300000,46,$71.70 ,The Avengers,623400000
733,Alexander Skarsgård,193400000,10,$19.30 ,The Legend of Tarzan,126600000
734,John Slattery,774600000,12,$64.60 ,Iron Man 2,312400000
735,Kodi Smit-McPhee,476500000,9,$52.90 ,Dawn of the Planet of the Apes,208500000
736,Jaden Smith,480000000,4,$120.00 ,The Karate Kid,176600000
737,Kevin Smith,209900000,7,$30.00 ,Live Free or Die Hard,134500000
738,Maggie Smith,691700000,24,$28.80 ,Sister Act,139600000
739,Will Smith,3205000000,25,$128.20 ,Suicide Squad,325100000
740,Wesley Snipes,976500000,31,$31.50 ,Blade II,82300000
741,Kang-ho Song,14100000,8,$1.80 ,The Interview (2014),6100000
742,Mira Sorvino,69900000,13,$5.40 ,Romy & Michele's High School Reunion,29200000
743,Kevin Spacey,1530200000,40,$38.30 ,Superman Returns,200100000
744,David Spade,906100000,15,$60.40 ,Hotel Transylvania 2,169700000
745,Octavia Spencer,1096400000,14,$78.30 ,Zootopia,341300000
746,Brent Spiner,1037200000,17,$61.00 ,Independence Day,306200000
747,Morgan Spurlock,638000,1,$638k,POM Wonderful Presents: The Greatest Movie Ever Sold,638000
748,Sylvester Stallone,2555900000,43,$59.40 ,Guardians of the Galaxy 2,389800000
749,Sebastian Stan,1896400000,18,$105.40 ,Avengers: Infinity War,678800000
750,Lakeith Stanfield,521700000,11,$47.40 ,Get Out,176000000
751,Jason Statham,1654700000,33,$50.10 ,Furious 7,353000000
752,Imelda Staunton,671400000,16,$42.00 ,Harry Potter / Phoenix,292100000
753,Hailee Steinfeld,902700000,15,$60.20 ,Spider-Man: Into The Spider-Verse,190200000
754,Dan Stevens,670200000,9,$74.50 ,Beauty and the Beast,504000000
755,Ray Stevenson,1166800000,16,$72.90 ,Thor: The Dark World,206400000
756,Kristen Stewart,1820500000,31,$58.70 ,The Twilight Saga: Eclipse,300500000
757,Patrick Stewart,1551500000,22,$70.50 ,X-Men: The Last Stand,234400000
758,Julia Stiles,1041300000,20,$52.10 ,The Bourne Ultimatum,227500000
759,Ben Stiller,2829100000,38,$74.50 ,Meet the Fockers,279300000
760,Emma Stone,1593600000,20,$79.70 ,The Amazing Spider-Man,262000000
761,Sharon Stone,743900000,35,$21.30 ,Total Recall,119400000
762,Meryl Streep,2413000000,56,$43.10 ,Mary Poppins Returns,172000000
763,Barbra Streisand,995400000,15,$66.40 ,Meet the Fockers,279300000
764,Mark Strong,1367200000,39,$35.10 ,Sherlock Holmes,209000000
765,Jim Sturgess,233300000,13,$17.90 ,21,81200000
766,Tom Sturridge,23800000,8,$3.00 ,Far from the Madding Crowd,12200000
767,Jason Sudeikis,921300000,19,$48.50 ,We're the Millers,150400000
768,Jeremy Sumpter,139900000,4,$35.00 ,Peter Pan,48500000
769,Kiefer Sutherland,1087500000,36,$30.20 ,Monsters Vs. Aliens,198400000
770,Hilary Swank,476200000,19,$25.10 ,Million Dollar Baby,100500000
771,Nick Swardson,792500000,13,$61.00 ,Grown Ups 2,133700000
772,Patrick Swayze,575100000,24,$24.00 ,Ghost,217600000
773,Tilda Swinton,1315500000,35,$37.60 ,The Chronicles of Narnia,291700000
774,Omar Sy,1074700000,7,$153.50 ,Jurassic World,652300000
775,Jorma Taccone,330800000,4,$82.70 ,The LEGO Movie,257800000
776,Quentin Tarantino,28700000,2,$14.30 ,From Dusk Till Dawn,25800000
777,Channing Tatum,2250400000,34,$66.20 ,The LEGO Movie,257800000
778,Christine Taylor,307900000,7,$44.00 ,DodgeBall,114300000
779,Aimee Teegarden,10200000,3,$3.40 ,Prom,10100000
780,Miles Teller,659900000,16,$41.20 ,Divergent,150900000
781,Juno Temple,396200000,18,$22.00 ,Maleficent,241400000
782,Charlize Theron,1666400000,38,$43.90 ,Hancock,227900000
783,Max Thieriot,233500000,9,$25.90 ,The Pacifier,113100000
784,Olivia Thirlby,366300000,17,$21.50 ,Juno,143500000
785,Emma Thompson,1574500000,34,$46.30 ,Beauty and the Beast,504000000
786,Tessa Thompson,1099700000,10,$110.00 ,Avengers: Endgame,452400000
787,Bella Thorne,324900000,10,$32.50 ,Alvin and the Chipmunks: The Road Chip,85900000
788,Billy Bob Thornton,1057100000,36,$29.40 ,Armageddon,201600000
789,Uma Thurman,789100000,34,$23.20 ,Pulp Fiction,107900000
790,Brenton Thwaites,488600000,6,$81.40 ,Maleficent,241400000
791,Justin Timberlake,671500000,15,$44.80 ,Trolls,153700000
792,Analeigh Tipton,151800000,4,$37.90 ,"Crazy, Stupid, Love.",84400000
793,Marisa Tomei,2099600000,45,$46.70 ,Captain America 3,408100000
794,Lily Tomlin,642500000,21,$30.60 ,Spider-Man: Into The Spider-Verse,190200000
795,Michelle Trachtenberg,254200000,8,$31.80 ,Inspector Gadget,97400000
796,John Travolta,2404400000,46,$52.30 ,Grease,190000000
797,Stanley Tucci,3778200000,56,$67.50 ,Beauty and the Beast,504000000
798,Chris Tucker,797700000,9,$88.60 ,Rush Hour 2,226200000
799,Alan Tudyk,2499500000,13,$192.30 ,Rogue One,532200000
800,Liv Tyler,1545600000,23,$67.20 ,Return of the King,377800000
801,Carrie Underwood,43900000,1,$43.90 ,Soul Surfer,43900000
802,Kate Upton,128200000,2,$64.10 ,The Other Woman,83900000
803,Karl Urban,2276600000,19,$119.80 ,Return of the King,377800000
804,Wilmer Valderrama,76800000,8,$9.60 ,Larry Crowne,35600000
805,Jean-Claude Van Damme,610800000,22,$27.80 ,Kung Fu Panda 2,165200000
806,Nia Vardalos,317900000,5,$63.60 ,My Big Fat Greek Wedding,241400000
807,Vince Vaughn,1806900000,36,$50.20 ,The Lost World,229100000
808,Alexa Vega,369500000,9,$41.10 ,Spy Kids,112700000
809,Alicia Vikander,368000000,13,$28.30 ,Jason Bourne,162400000
810,Goran Visnjic,86100000,7,$12.30 ,Practical Magic,46700000
811,Mike Vogel,537700000,12,$44.80 ,The Help,169700000
812,Jon Voight,2268200000,35,$64.80 ,Transformers,319200000
813,Mark Wahlberg,3005900000,43,$69.90 ,Transformers 4,245400000
814,David Wain,101000,2,$50.3k,Delirious (2007),86500
815,Rhys Wakefield,46700000,3,$15.60 ,Endless Love,23400000
816,Christopher Walken,2093000000,62,$33.80 ,The Jungle Book,364000000
817,Paul Walker,1644400000,19,$86.50 ,Furious 7,353000000
818,Quvenzhane Wallis,253100000,4,$63.30 ,Trolls,153700000
819,Julie Walters,1798600000,28,$64.20 ,Harry Potter / Sorcerer's Stone,317900000
820,Christoph Waltz,1079800000,15,$72.00 ,Spectre,200100000
821,Denzel Washington,2502000000,47,$53.20 ,American Gangster,130200000
822,Mia Wasikowska,534200000,18,$29.70 ,Alice in Wonderland,334200000
823,Katherine Waterston,503100000,7,$71.90 ,Fantastic Beasts and Where To Find Them,234000000
824,Emma Watson,3207900000,18,$178.20 ,Beauty and the Beast,504000000
825,Naomi Watts,949800000,38,$25.00 ,King Kong,218100000
826,Damon Wayans,217400000,11,$19.80 ,The Last Boy Scout,59500000
827,Keenen Ivory Wayans,69200000,4,$17.30 ,A Low Down Dirty Shame,29400000
828,Marlon Wayans,765600000,17,$45.00 ,Scary Movie,157000000
829,Shawn Wayans,377900000,5,$75.60 ,Scary Movie,157000000
830,John Wayne,8200000,2,$4.10 ,The Shootist,8100000
831,Sigourney Weaver,2280100000,47,$48.50 ,Avatar,760500000
832,Hugo Weaving,2189400000,20,$109.50 ,Fellowship of the Ring,315500000
833,Rachel Weisz,1267100000,38,$33.30 ,Oz The Great and Powerful,234900000
834,Leigh Whannell,90200000,3,$30.10 ,Insidious 4,67700000
835,Ben Whishaw,879600000,15,$58.60 ,Skyfall,304400000
836,Forest Whitaker,2830500000,57,$49.70 ,Black Panther,700100000
837,Kristen Wiig,2367500000,33,$71.70 ,Despicable Me 2,368100000
838,Olivia Wilde,575600000,22,$26.20 ,Tron Legacy,172100000
839,Gene Wilder,357200000,10,$35.70 ,Blazing Saddles,119600000
840,Tom Wilkinson,1208400000,46,$26.30 ,Rush Hour,141200000
841,Michael K. Williams,656600000,16,$41.00 ,The Incredible Hulk,134800000
842,Michelle Williams,1156400000,31,$37.30 ,Oz The Great and Powerful,234900000
843,Robin Williams,3279300000,50,$65.60 ,Night at the Museum,250900000
844,Bruce Willis,3335000000,62,$53.80 ,Sixth Sense,293500000
845,Luke Wilson,656700000,32,$20.50 ,Legally Blonde,96500000
846,Owen Wilson,2922500000,43,$68.00 ,Night at the Museum,250900000
847,Patrick Wilson,1118400000,21,$53.30 ,Aquaman,335100000
848,Rebel Wilson,620700000,9,$69.00 ,Pitch Perfect 2,184300000
849,Oprah Winfrey,745400000,9,$82.80 ,Bee Movie,126600000
850,Kate Winslet,1519300000,34,$44.70 ,Titanic,659400000
851,Mary Elizabeth Winstead,480000000,18,$26.70 ,Live Free or Die Hard,134500000
852,Reese Witherspoon,1652300000,33,$50.10 ,Sing,270400000
853,Ellen Wong,31500000,1,$31.50 ,Scott Pilgrim vs. the World,31500000
854,Elijah Wood,1889300000,37,$51.10 ,Return of the King,377800000
855,Shailene Woodley,614700000,9,$68.30 ,Divergent,150900000
856,Kenny Wormald,64400000,4,$16.10 ,Footloose,51800000
857,Sam Worthington,1329900000,15,$88.70 ,Avatar,760500000
858,Jeffrey Wright,2006700000,27,$74.30 ,Catching Fire,424700000
859,Letitia Wright,2005300000,6,$334.20 ,Black Panther,700100000
860,Robin Wright,837200000,7,$119.60 ,Wonder Woman,412600000
861,Anton Yelchin,1090500000,22,$49.60 ,Star Trek,257700000
862,Donnie Yen,804700000,14,$57.50 ,Rogue One,532200000
863,Michelle Yeoh,806100000,13,$62.00 ,Crazy Rich Asians,174500000
864,Steven Yeun,58700000,3,$19.60 ,The Star,40900000
865,Renee Zellweger,1198900000,29,$41.30 ,Chicago,170700000
866,Catherine Zeta-Jones,1229300000,24,$51.20 ,Chicago,170700000
867,Zhang Ziyi,485900000,10,$48.60 ,Rush Hour 2,226200000
868,Josh Zuckerman,8400000,2,$4.20 ,Sex Drive,8400000
